,pokedex_number,name,japanese_name,hp,attack,defense,sp_attack,sp_defense,speed,weight_kg,height_m,percentage_male,experience_growth,capture_rate,classfication,base_egg_steps,base_happiness,base_total,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,generation,is_legendary,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water
16,17,Pidgeotto,Pigeonピジョン,63,60,55,50,50,71,30.0,1.1,50.0,1059860,120,Bird Pokémon,3840,70,349,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
17,18,Pidgeot,Pigeotピジョット,83,80,80,135,80,121,39.5,1.5,50.0,1059860,45,Bird Pokémon,3840,70,579,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18,19,Rattata,Korattaコラッタ,30,56,35,25,35,72,3.5,0.3,50.0,1000000,255,Mouse Pokémon,3840,70,253,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,20,Raticate,Rattaラッタ,75,71,70,40,80,77,18.5,0.7,50.0,1000000,127,Mouse Pokémon,3840,70,413,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,21,Spearow,Onisuzumeオニスズメ,40,60,30,31,31,70,2.0,0.3,50.0,1000000,255,Tiny Bird Pokémon,3840,70,262,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,22,Fearow,Onidrillオニドリル,65,90,65,61,61,100,38.0,1.2,50.0,1000000,90,Beak Pokémon,3840,70,442,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,23,Ekans,Arboアーボ,35,60,44,40,54,55,6.9,2.0,50.0,1000000,255,Snake Pokémon,5120,70,288,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,24,Arbok,Arbokアーボック,60,95,69,65,79,80,65.0,3.5,50.0,1000000,90,Cobra Pokémon,5120,70,448,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,25,Pikachu,Pikachuピカチュウ,35,55,40,50,50,90,6.0,0.4,50.0,1000000,190,Mouse Pokémon,2560,70,320,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,Raichu,Raichuライチュウ,60,85,50,95,85,110,0.8,30.0,50.0,1000000,75,Mouse Pokémon,2560,70,485,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,Sandshrew,Sandサンド,50,75,90,10,35,40,12.0,0.6,50.0,1000000,255,Mouse Pokémon,5120,70,300,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
27,28,Sandslash,Sandpanサンドパン,75,100,120,25,65,65,29.5,1.0,50.0,1000000,90,Mouse Pokémon,5120,70,450,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
28,29,Nidoran♀,Nidoran?ニドラン♀,55,47,52,40,40,41,7.0,0.4,0.0,1059860,235,Poison Pin Pokémon,5120,70,275,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,30,Nidorina,Nidorinaニドリーナ,70,62,67,55,55,56,20.0,0.8,0.0,1059860,120,Poison Pin Pokémon,5120,70,365,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,31,Nidoqueen,Nidoqueenニドクイン,90,92,87,75,85,76,60.0,1.3,0.0,1059860,45,Drill Pokémon,5120,70,505,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31,32,Nidoran♂,Nidoran?ニドラン♂,46,57,40,40,40,50,9.0,0.5,100.0,1059860,235,Poison Pin Pokémon,5120,70,273,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,33,Nidorino,Nidorinoニドリーノ,61,72,57,55,55,65,19.5,0.9,100.0,1059860,120,Poison Pin Pokémon,5120,70,365,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,34,Nidoking,Nidokingニドキング,81,102,77,85,75,85,62.0,1.4,100.0,1059860,45,Drill Pokémon,5120,70,505,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,35,Clefairy,Pippiピッピ,70,45,48,60,65,35,7.5,0.6,24.6,800000,150,Fairy Pokémon,2560,140,323,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,Clefable,Pixyピクシー,95,70,73,95,90,60,40.0,1.3,24.6,800000,25,Fairy Pokémon,2560,140,483,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,37,Vulpix,Rokonロコン,38,41,40,50,65,65,9.9,0.6,24.6,1000000,190,Fox Pokémon,5120,70,299,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
37,38,Ninetales,Kyukonキュウコン,73,67,75,81,100,109,19.9,1.1,24.6,1000000,75,Fox Pokémon,5120,70,505,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38,39,Jigglypuff,Purinプリン,115,45,20,45,25,20,5.5,0.5,24.6,800000,170,Balloon Pokémon,2560,70,270,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
39,40,Wigglytuff,Pukurinプクリン,140,70,45,85,50,45,12.0,1.0,24.6,800000,50,Balloon Pokémon,2560,70,435,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,41,Zubat,Zubatズバット,40,45,35,30,40,55,7.5,0.8,50.0,1000000,255,Bat Pokémon,3840,70,245,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
41,42,Golbat,Golbatゴルバット,75,80,70,65,75,90,55.0,1.6,50.0,1000000,90,Bat Pokémon,3840,70,455,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
42,43,Oddish,Nazonokusaナゾノクサ,45,50,55,75,65,30,5.4,0.5,50.0,1059860,255,Weed Pokémon,5120,70,320,"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
43,44,Gloom,Kusaihanaクサイハナ,60,65,70,85,75,40,8.6,0.8,50.0,1059860,120,Weed Pokémon,5120,70,395,"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
44,45,Vileplume,Ruffresiaラフレシア,75,80,85,110,90,50,18.6,1.2,50.0,1059860,45,Flower Pokémon,5120,70,490,"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
45,46,Paras,Parasパラス,35,70,55,45,55,25,5.4,0.3,50.0,1000000,190,Mushroom Pokémon,5120,70,285,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,47,Parasect,Parasectパラセクト,60,95,80,60,80,30,29.5,1.0,50.0,1000000,75,Mushroom Pokémon,5120,70,405,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,48,Venonat,Kongpangコンパン,60,55,50,40,55,45,30.0,1.0,50.0,1000000,190,Insect Pokémon,5120,70,305,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,49,Venomoth,Morphonモルフォン,70,65,60,90,75,90,12.5,1.5,50.0,1000000,75,Poison Moth Pokémon,5120,70,450,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,50,Diglett,Digdaディグダ,10,55,30,35,45,90,0.8,0.2,50.0,1000000,255,Mole Pokémon,5120,70,265,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,51,Dugtrio,Dugtrioダグトリオ,35,100,60,50,70,110,33.3,0.7,50.0,1000000,50,Mole Pokémon,5120,70,425,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,52,Meowth,Nyarthニャース,40,35,35,50,40,90,4.2,0.4,50.0,1000000,255,Scratch Cat Pokémon,5120,70,290,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,53,Persian,Persianペルシアン,65,60,60,75,65,115,32.0,1.0,50.0,1000000,90,Classy Cat Pokémon,5120,70,440,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,54,Psyduck,Koduckコダック,50,52,48,65,50,55,19.6,0.8,50.0,1000000,190,Duck Pokémon,5120,70,320,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,55,Golduck,Golduckゴルダック,80,82,78,95,80,85,76.6,1.7,50.0,1000000,75,Duck Pokémon,5120,70,500,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,56,Mankey,Mankeyマンキー,40,80,35,35,45,70,28.0,0.5,50.0,1000000,190,Pig Monkey Pokémon,5120,70,305,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,57,Primeape,Okorizaruオコリザル,65,105,60,60,70,95,32.0,1.0,50.0,1000000,75,Pig Monkey Pokémon,5120,70,455,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,58,Growlithe,Gardieガーディ,55,70,45,70,50,60,19.0,0.7,75.4,1250000,190,Puppy Pokémon,5120,70,350,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,59,Arcanine,Windieウインディ,90,110,80,100,80,95,155.0,1.9,75.4,1250000,75,Legendary Pokémon,5120,70,555,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,60,Poliwag,Nyoromoニョロモ,40,50,40,40,40,90,12.4,0.6,50.0,1059860,255,Tadpole Pokémon,5120,70,300,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,61,Poliwhirl,Nyorozoニョロゾ,65,65,65,50,50,90,20.0,1.0,50.0,1059860,120,Tadpole Pokémon,5120,70,385,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,62,Poliwrath,Nyorobonニョロボン,90,95,95,70,90,70,54.0,1.3,50.0,1059860,45,Tadpole Pokémon,5120,70,510,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
62,63,Abra,Caseyケーシィ,25,20,15,105,55,90,19.5,0.9,75.4,1059860,200,Psi Pokémon,5120,70,310,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,64,Kadabra,Yungererユンゲラー,40,35,30,120,70,105,56.5,1.3,75.4,1059860,100,Psi Pokémon,5120,70,400,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,65,Alakazam,Foodinフーディン,55,50,65,175,105,150,48.0,1.5,75.4,1059860,50,Psi Pokémon,5120,70,600,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
